Position,IMDb_ID,Title,Year,IMDb_Rating,Directors,Genres,URL
944,tt0114558,Strange Days,1995,7.2,Kathryn Bigelow,"Crime, Drama, Sci-Fi, Thriller",https://www.imdb.com/title/tt0114558/
1048,tt0299658,Chicago,2002,7.2,Rob Marshall,"Comedy, Crime, Musical",https://www.imdb.com/title/tt0299658/
1137,tt1508675,Le Havre,2011,7.2,Aki Kaurismäki,"Comedy, Drama",https://www.imdb.com/title/tt1508675/
1223,tt6266538,Vice,2018,7.2,Adam McKay,"Biography, Comedy, Drama, History",https://www.imdb.com/title/tt6266538/
51,tt0021079,Little Caesar,1931,7.1,Mervyn LeRoy,"Action, Crime, Drama, Romance",https://www.imdb.com/title/tt0021079/
86,tt0025913,Triumph of the Will,1935,7.1,Leni Riefenstahl,"Documentary, History",https://www.imdb.com/title/tt0025913/
87,tt0025318,It's a Gift,1934,7.1,Norman Z. McLeod,Comedy,https://www.imdb.com/title/tt0025318/
119,tt0029146,The Life of Emile Zola,1937,7.1,William Dieterle,"Biography, Drama",https://www.imdb.com/title/tt0029146/
147,tt0032234,The Bank Dick,1940,7.1,Edward F. Cline,Comedy,https://www.imdb.com/title/tt0032234/
226,tt0041786,The Reckless Moment,1949,7.1,Max Ophüls,"Crime, Drama, Film-Noir",https://www.imdb.com/title/tt0041786/
232,tt0042040,Whisky Galore!,1949,7.1,Alexander Mackendrick,"Comedy, Crime",https://www.imdb.com/title/tt0042040/
246,tt0043278,An American in Paris,1951,7.1,Vincente Minnelli,"Drama, Musical, Romance",https://www.imdb.com/title/tt0043278/
277,tt0045810,Gentlemen Prefer Blondes,1953,7.1,Howard Hawks,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0045810/
309,tt0048140,Guys and Dolls,1955,7.1,Joseph L. Mankiewicz,"Comedy, Crime, Musical, Romance",https://www.imdb.com/title/tt0048140/
336,tt0050468,Gunfight at the O.K. Corral,1957,7.1,John Sturges,"Biography, Drama, Western",https://www.imdb.com/title/tt0050468/
359,tt0053220,Ride Lonesome,1959,7.1,Budd Boetticher,Western,https://www.imdb.com/title/tt0053220/
381,tt0054067,Black Sunday,1960,7.1,Mario Bava,Horror,https://www.imdb.com/title/tt0054067/
396,tt0055257,One-Eyed Jacks,1961,7.1,Marlon Brando,"Drama, Western",https://www.imdb.com/title/tt0055257/
438,tt0058329,Marnie,1964,7.1,Alfred Hitchcock,"Crime, Drama, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0058329/
442,tt0058006,"Black God, White Devil",1964,7.1,Glauber Rocha,"Adventure, Crime, Drama, Western",https://www.imdb.com/title/tt0058006/
494,tt0062453,Viy,1967,7.1,"Aleksandr Ptushko, Konstantin Ershov, Georgiy Kropachyov","Drama, Fantasy, Horror",https://www.imdb.com/title/tt0062453/
520,tt0064609,Lucia,1968,7.1,Humberto Solás,Drama,https://www.imdb.com/title/tt0064609/
529,tt0066122,Deep End,1970,7.1,Jerzy Skolimowski,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0066122/
534,tt0065143,The Bird with the Crystal Plumage,1970,7.1,Dario Argento,"Drama, Horror, Mystery, Thriller",https://www.imdb.com/title/tt0065143/
550,tt0067309,Klute,1971,7.1,Alan J. Pakula,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0067309/
558,tt0067961,Wanda,1970,7.1,Barbara Loden,"Crime, Drama",https://www.imdb.com/title/tt0067961/
588,tt0069995,Don't Look Now,1973,7.1,Nicolas Roeg,"Drama, Horror, Mystery, Thriller",https://www.imdb.com/title/tt0069995/
591,tt0070707,Sleeper,1973,7.1,Woody Allen,"Comedy, Sci-Fi",https://www.imdb.com/title/tt0070707/
595,tt0070842,Turkish Delight,1973,7.1,Paul Verhoeven,"Drama, Romance",https://www.imdb.com/title/tt0070842/
666,tt0079596,My Brilliant Career,1979,7.1,Gillian Armstrong,"Biography, Drama, Romance",https://www.imdb.com/title/tt0079596/
682,tt0079367,The Jerk,1979,7.1,Carl Reiner,Comedy,https://www.imdb.com/title/tt0079367/
690,tt0080437,The Big Red One,1980,7.1,Samuel Fuller,"Drama, War",https://www.imdb.com/title/tt0080437/
695,tt0082269,Diva,1981,7.1,Jean-Jacques Beineix,"Crime, Drama, Music, Thriller",https://www.imdb.com/title/tt0082269/
706,tt0083929,Fast Times at Ridgemont High,1982,7.1,Amy Heckerling,"Comedy, Drama",https://www.imdb.com/title/tt0083929/
723,tt0085244,The Big Chill,1983,7.1,Lawrence Kasdan,"Comedy, Drama",https://www.imdb.com/title/tt0085244/
729,tt0086543,The 4th Man,1983,7.1,Paul Verhoeven,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0086543/
775,tt0090985,The Decline of the American Empire,1986,7.1,Denys Arcand,"Comedy, Drama",https://www.imdb.com/title/tt0090985/
803,tt0093225,Housekeeping,1987,7.1,Bill Forsyth,"Comedy, Drama",https://www.imdb.com/title/tt0093225/
829,tt0092929,Drowning by Numbers,1988,7.1,Peter Greenaway,"Comedy, Drama",https://www.imdb.com/title/tt0092929/
858,tt0100486,Reversal of Fortune,1990,7.1,Barbet Schroeder,"Biography, Drama, Mystery",https://www.imdb.com/title/tt0100486/
873,tt0103099,Tongues Untied,1989,7.1,Marlon Riggs,Documentary,https://www.imdb.com/title/tt0103099/
1055,tt0364930,Aileen: Life and Death of a Serial Killer,2003,7.1,"Nick Broomfield, Joan Churchill","Documentary, Crime",https://www.imdb.com/title/tt0364930/
1228,tt1489887,Booksmart,2019,7.1,Olivia Wilde,Comedy,https://www.imdb.com/title/tt1489887/
1253,tt10638522,Talk to Me,2022,7.1,"Danny Philippou, Michael Philippou","Horror, Thriller",https://www.imdb.com/title/tt10638522/
17,tt0013140,Foolish Wives,1922,7.0,Erich von Stroheim,"Drama, Thriller",https://www.imdb.com/title/tt0013140/
57,tt0022080,Limit,1931,7.0,Mario Peixoto,"Drama, Romance",https://www.imdb.com/title/tt0022080/
110,tt0028212,Sabotage,1936,7.0,Alfred Hitchcock,"Crime, Thriller",https://www.imdb.com/title/tt0028212/
175,tt0036027,I Walked with a Zombie,1943,7.0,Jacques Tourneur,"Drama, Fantasy, Horror, Romance",https://www.imdb.com/title/tt0036027/
180,tt0036910,Henry V,1944,7.0,Laurence Olivier,"Biography, Drama, History, War",https://www.imdb.com/title/tt0036910/
239,tt0042895,Rio Grande,1950,7.0,John Ford,"Drama, Romance, Western",https://www.imdb.com/title/tt0042895/
261,tt0044487,The Golden Coach,1952,7.0,Jean Renoir,"Comedy, Drama, History, Romance",https://www.imdb.com/title/tt0044487/
312,tt0048445,Oklahoma!,1955,7.0,Fred Zinnemann,"Drama, Musical, Romance, Western",https://www.imdb.com/title/tt0048445/
346,tt0051899,Man of the West,1958,7.0,Anthony Mann,"Drama, Western",https://www.imdb.com/title/tt0051899/
457,tt0058898,Alphaville,1965,7.0,Jean-Luc Godard,"Comedy, Drama, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt0058898/
573,tt0068687,The Heartbreak Kid,1972,7.0,Elaine May,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0068687/
600,tt0072308,The Towering Inferno,1974,7.0,John Guillermin,"Action, Drama, Thriller",https://www.imdb.com/title/tt0072308/
665,tt0077559,Five Deadly Venoms,1978,7.0,Cheh Chang,"Action, Drama, Fantasy, Mystery",https://www.imdb.com/title/tt0077559/
671,tt0079781,Real Life,1979,7.0,Albert Brooks,Comedy,https://www.imdb.com/title/tt0079781/
703,tt0083226,Three Brothers,1981,7.0,Francesco Rosi,Drama,https://www.imdb.com/title/tt0083226/
711,tt0083833,Diner,1982,7.0,Barry Levinson,"Comedy, Drama",https://www.imdb.com/title/tt0083833/
788,tt0092501,Project A 2,1987,7.0,Jackie Chan,"Action, Comedy, Crime",https://www.imdb.com/title/tt0092501/
804,tt0094812,Bull Durham,1988,7.0,Ron Shelton,"Comedy, Romance, Sport",https://www.imdb.com/title/tt0094812/
853,tt0099763,Henry: Portrait of a Serial Killer,1986,7.0,John McNaughton,"Biography, Crime, Drama, Horror, Thriller",https://www.imdb.com/title/tt0099763/
865,tt0102943,Slacker,1990,7.0,Richard Linklater,"Comedy, Drama",https://www.imdb.com/title/tt0102943/
892,tt0107157,The Puppetmaster,1993,7.0,Hsiao-Hsien Hou,"Biography, Drama, War",https://www.imdb.com/title/tt0107157/
904,tt0110308,The Last Seduction,1994,7.0,John Dahl,"Crime, Drama, Romance, Thriller",https://www.imdb.com/title/tt0110308/
